Exam_index_glob,SS_index_glob,r_KOP_glob,T_KOP_glob,m_KOP_glob,t0_KOP_glob,r2_KOP_glob,Chirp_SS_f3,Chirp_SS_f4,Chirp_SS_c3,Chirp_SS_c4,Chirp_SS_p3,Chirp_SS_p4,Chirp_SS_o1,Chirp_SS_o2,Chirp_SS_glob,Freq_SS_f3,Freq_SS_f4,Freq_SS_c3,Freq_SS_c4,Freq_SS_p3,Freq_SS_p4,Freq_SS_o1,Freq_SS_o2,Freq_SS_glob,Time_Prop_f3f4,Time_Prop_f3c3,Time_Prop_f3c4,Time_Prop_f3p3,Time_Prop_f3p4,Time_Prop_f3o1,Time_Prop_f3o2,Time_Prop_f4c3,Time_Prop_f4c4,Time_Prop_f4p3,Time_Prop_f4p4,Time_Prop_f4o1,Time_Prop_f4o2,Time_Prop_c3c4,Time_Prop_c3p3,Time_Prop_c3p4,Time_Prop_c3o1,Time_Prop_c3o2,Time_Prop_c4p3,Time_Prop_c4p4,Time_Prop_c4o1,Time_Prop_c4o2,Time_Prop_p3p4,Time_Prop_p3o1,Time_Prop_p3o2,Time_Prop_p4o1,Time_Prop_p4o2,Time_Prop_o1o2,Veloc_Prop_glob,Timeloc_Prop_glob,Envmax_Prop_f3,Envmax_Prop_f4,Envmax_Prop_c3,Envmax_Prop_c4,Envmax_Prop_p3,Envmax_Prop_p4,Envmax_Prop_o1,Envmax_Prop_o2,Durac_Prop_f3,Durac_Prop_f4,Durac_Prop_c3,Durac_Prop_c4,Durac_Prop_p3,Durac_Prop_p4,Durac_Prop_o1,Durac_Prop_o2,Durac_Prop_glob,Idurac_Prop_f3,Idurac_Prop_f4,Idurac_Prop_c3,Idurac_Prop_c4,Idurac_Prop_p3,Idurac_Prop_p4,Idurac_Prop_o1,Idurac_Prop_o2,Idurac_Prop_glob,Timemax_Prop_f3,Timemax_Prop_f4,Timemax_Prop_c3,Timemax_Prop_c4,Timemax_Prop_p3,Timemax_Prop_p4,Timemax_Prop_o1,Timemax_Prop_o2,Deltafrac_Freq_f3,Deltafrac_Freq_f4,Deltafrac_Freq_c3,Deltafrac_Freq_c4,Deltafrac_Freq_p3,Deltafrac_Freq_p4,Deltafrac_Freq_o1,Deltafrac_Freq_o2
70405,3,0.79510903,0.049187392,0.81544372,0.37606327,0.89154465,-1.0902,-0.20735,-0.8481,0.076967,-1.5341,0.38,-0.70663,0.1265,-0.47536413,13,12,12.5,12,12,12,12,14,12.4375,0.10625,-0.059375,0.0882813,-0.0648438,-0.0398437,-0.128906,0.0476562,-0.125781,-0.0554687,-0.146875,-0.0796875,-0.191406,-0.090625,0.102344,-0.0570312,0.0546875,-0.126562,0.0695313,-0.126562,-0.0570312,-0.176563,-0.0609375,0.0789062,-0.0945312,0.084375,-0.126562,0.0351562,0.140625,0,2820.1406,13.804602,13.755322,8.7270083,11.144976,6.1206015,9.2230022,8.1676731,7.9215585,0.3147176,0.35249862,0.3338978,0.36603792,0.37243797,0.37773227,0.30944138,0.37542611,0.35027371,0.40625,0.46875,0.41015625,0.39453125,0.41796875,0.33984375,0.46875,0.34765625,0.40673828,2819.9707,2819.9511,2819.9629,2819.9472,2819.959,2819.9472,2820.0293,2819.9433,0.36560739,0.26020164,0.32217717,0.28029738,0.29785337,0.22531217,0.17742801,0.19020865
70405,13,0.9570571,0.10392432,0.57444802,2.7619562e-09,0.97191372,0.83321,-1.0866,0.041247,-1.1916,-0.10684,-0.93467,0.27287,1.4202,-0.094022875,13.5,12.5,12.5,12.5,12,13,14.5,14.5,13.125,-0.507031,0.699219,-0.461719,0.794531,0.51875,0.794531,0.664844,0.333594,0.15625,0.3375,0.250781,0.332813,0.345313,-0.309375,0.889844,-0.264844,0.889844,0.160156,0.310156,0.215625,0.296875,0.2875,-0.278906,-0.0195312,-0.179688,0.270313,0.228125,-0.15625,0,2849.2578,2.5788137,17.317228,3.893858,14.307268,4.7117618,9.6550753,4.690434,5.5104996,0.28941611,0.19531859,0.23039835,0.20255409,0.23373551,0.21527697,0.23996237,0.2195306,0.22827407,0.41015625,0.66796875,0.59375,0.671875,0.64453125,0.609375,0.7109375,0.71484375,0.62792969,2849.0351,2849.293,2849.2031,2849.2148,2849.2773,2849.2148,2849.3515,2849.0703,0.30232204,0.14264982,0.31529753,0.20958736,0.39910474,0.2463791,0.19726178,0.21992887
70405,42,0.94485999,0.070463397,0.55585689,0.26919934,0.85238052,0.43814,-0.16866,-0.46462,-0.31574,-0.46693,-0.85343,0.37116,0.63179,-0.10353625,11.5,11.5,13,11.5,13,11.5,13,13,12.25,0.08125,0.0445313,0.0835937,-0.371094,0.103906,-0.327344,-0.375,-0.0523438,0,-0.380469,-0.3,-0.338281,-0.948438,0.0648438,-0.385156,0.0875,-0.339062,-0.935937,-0.0570312,0,-0.354687,-0.988281,0.0734375,-0.349219,-0.482812,-0.04375,-1.03984,-0.510156,0,3630.8672,8.7977097,13.030735,8.3769496,9.2084397,8.1744551,8.4191085,8.4409268,4.6323735,0.25754267,0.28978634,0.26338913,0.29893499,0.2910442,0.28279741,0.27771457,0.31917595,0.28504816,0.7421875,0.640625,0.2890625,0.64453125,0.26953125,0.328125,0.30078125,0.82421875,0.50488281,3630.8164,3630.5781,3630.8125,3630.7383,3630.8125,3630.7422,3630.7344,3630.7422,0.2942532,0.24228733,0.22742041,0.19062083,0.21435544,0.18852295,0.18143687,0.20066847
70405,45,0.99718869,0.37442404,1.1378127,0.22579513,0.91628667,0.23954,0.032179,0.7515,0.21945,0.75473,0.60358,1.2509,0.91294,0.59560237,14,13,13.5,13,14,13.5,13.5,13.5,13.5,-0.405469,-0.534375,0.245312,0.638281,0.586719,0.598437,1.66328,0.333594,0.09375,0.510938,0.691406,0.458594,0.657813,0.239063,0.638281,0.760156,0.553125,1.66328,0.790625,0.847656,0.457813,0.932031,1.66328,0.500781,1.66328,0.390625,0.0789062,-0.553906,0,3659.2812,8.7887566,9.838426,7.150719,7.4256172,8.5177855,6.1629872,9.0104244,5.4470609,0.42361121,0.39583446,0.41897819,0.4198089,0.44955119,0.4456194,0.35330656,0.45559931,0.42028865,1.296875,0.78125,0.90625,0.84765625,0.96875,0.6484375,0.68359375,1.4609375,0.94921875,3659.2226,3659.6093,3659.3046,3659.6054,3659.2304,3659.457,3659.2304,3659.3828,0.33971863,0.34564187,0.36574722,0.34361425,0.34545987,0.27723651,0.27342525,0.30065355
70405,93,0.75772393,0.040785526,1.0322699,0.44491795,0.93516149,0.72947,-0.36239,1.162,-0.24824,0.83594,0.49568,0.026546,-1.3955,0.15543825,13.5,12,13.5,14,13.5,14,14,12,13.3125,-0.365625,-0.458594,-0.391406,-0.875,-0.725781,-0.922656,-0.672656,0.3875,-0.0546875,-0.499219,0.292187,0.994531,1.13594,-0.40625,-0.938281,-0.79375,-0.984375,-0.724219,0.401562,0.3,0.99375,1.01797,0.828906,0.996094,1.13594,-0.879687,0.796875,1.13594,0,4790.75,10.165515,6.7376104,6.6063652,4.1896807,4.0749012,2.9426438,3.0565505,4.5866687,0.27672674,0.27611086,0.31720229,0.27886753,0.34295887,0.32691769,0.38219915,0.33327208,0.3167819,0.7890625,0.37109375,0.35546875,0.38671875,0.6640625,0.45703125,0.32421875,0.31640625,0.45800781,4790.4629,4790.709,4790.8496,4790.709,4790.7754,4790.4629,4790.7051,4791.0332,0.22352322,0.22247722,0.22743835,0.2155541,0.31946454,0.17873006,0.28271114,0.26822654
70405,112,0.79084682,0.046464773,0.58739347,0.19663081,0.93232694,-1.1574,-0.76369,-0.5115,0.2018,-0.02578,-0.86261,-0.97167,-0.45556,-0.56830125,12.5,12,14.5,14,15,13,12.5,13,13.3125,0.142187,0.071875,0.183594,0.345313,0.217188,-0.222656,-0.217188,-0.121094,0.107031,0.309375,-0.271875,-0.316406,-0.278906,0.151562,-0.053125,-0.258594,-0.403906,-0.263281,-0.166406,-0.354687,-0.495312,-0.349219,-0.304688,-0.457813,-0.31875,-0.296094,-0.232813,0.194531,0,4907.8047,11.344994,7.6759817,6.5473348,5.0771003,5.4478549,5.2497377,6.919915,7.351833,0.25532183,0.25646457,0.2605682,0.25999397,0.2838076,0.26274366,0.29787296,0.255313,0.26651072,0.40625,0.3984375,0.4296875,0.3984375,0.51953125,0.7578125,0.609375,0.58203125,0.51269531,4907.7832,4907.6426,4907.7832,4907.6348,4907.7871,4908.002,4907.9277,4907.9277,0.2744431,0.22217073,0.22794264,0.22004026,0.23693097,0.2275162,0.24744452,0.19705176
70405,132,0.94255617,0.13625243,0.73596172,2.2858841e-14,0.94684206,-0.77105,-1.0606,-0.11658,0.71136,-0.12921,0.98764,1.643,0.32124,0.198225,12,13,12,13.5,12,13,14,12.5,12.75,0.349219,0.982031,0.864062,0.974219,0.775781,0.914062,0.774219,0.664844,0.545312,0.663281,0.478906,0.630469,0.466406,-0.136719,0.504687,0.74375,0.392188,-0.257031,0.167969,0.771094,0.153125,-0.140625,-0.209375,-0.0828125,-0.253125,0.167969,-0.489844,-0.20625,0,5009.5859,11.418232,8.1297546,10.948166,7.9636501,13.196266,11.891323,5.076312,7.0260528,0.41794549,0.39212895,0.41011034,0.41673759,0.34660334,0.32798789,0.38198075,0.36160068,0.38188688,0.33203125,0.3515625,0.35546875,0.37890625,0.390625,0.421875,0.44140625,0.421875,0.38671875,5009.7812,5009.8554,5009.2226,5009.3828,5009.2304,5009.4609,5009.3086,5009.4609,0.3390828,0.34845659,0.24092732,0.26841867,0.20049372,0.22711013,0.33853644,0.31713775
70405,146,0.90849137,0.17740233,0.62892027,2.2275613e-14,0.93997301,-1.1002,-1.2251,-1.1228,-1.5528,-1.4684,-1.1675,-0.45713,-0.49902,-1.0741187,13,12,12.5,12,12.5,11.5,11.5,13,12.25,-0.136719,-0.0726563,-0.0796875,-0.114062,0.0976562,-0.128125,0.0773438,0.146094,0.119531,0.129688,0.164844,0.149219,0.152344,-0.0898438,-0.108594,0.117188,-0.117188,0.0765625,-0.103125,0.109375,-0.119531,0.108594,0.148438,-0.1,0.117188,-0.163281,-0.1125,0.124219,0,5229.3594,13.142897,19.935765,11.125554,12.9298,10.180929,7.6459865,5.7666148,4.5950056,0.21368798,0.24459903,0.19881477,0.24834123,0.21970568,0.23386296,0.20715411,0.21937411,0.22319248,0.45703125,0.6640625,0.48828125,0.56640625,0.5859375,0.5078125,0.5390625,0.68359375,0.56152344,5229.1524,5229.1602,5229.1485,5229.125,5229.1485,5229.125,5229.1524,5229.125,0.3560045,0.2730018,0.42180758,0.36262554,0.40584463,0.3415663,0.39131565,0.39362593
70405,150,0.84193432,0.036248119,0.5863412,0.70637731,0.97609885,0.070579,-0.069245,0.29063,-0.64116,0.36166,-0.019706,0.29463,-0.35877,-0.00892275,12,14.5,12,13,12,12.5,12,12.5,12.5625,-0.64375,0.266406,-0.741406,0.28125,-0.403906,0.725781,-0.249219,0.651563,-1.77578,1.73438,0.617188,1.70234,0.579688,-0.792969,0.275781,-0.455469,1.79219,-0.253125,1.75391,0.680469,1.74687,0.550781,-0.469531,1.79219,-0.25,1.79219,0.246094,-0.894531,0,5255.6094,13.900797,2.7990119,9.373655,3.0826509,7.5924687,4.9882185,4.0674712,5.9353692,0.40013497,0.50604907,0.4270286,0.49367721,0.45284136,0.42958924,0.48517649,0.39814867,0.4490807,0.8671875,0.796875,0.79296875,0.55859375,0.6796875,0.6015625,0.72265625,0.80078125,0.72753906,5255.5918,5255.4473,5255.5137,5255.9004,5255.5918,5255.6621,5255.6621,5255.7364,0.17678488,0.2388198,0.13786381,0.16089017,0.15324632,0.16686648,0.21778128,0.19756338
70405,155,0.95754522,0.02494315,0.59854179,0.19375661,0.86282776,-0.60796,0.037361,-1.5121,0.21343,-1.2946,-0.15449,-1.497,-0.27267,-0.63600362,12.5,12.5,12.5,14.5,12.5,14.5,12,14.5,13.1875,0.0570312,-0.153125,0.0507812,-0.191406,-0.0671875,-0.126562,-0.146875,-0.135156,-0.034375,-0.134375,-0.053125,-0.0859375,-0.10625,0.133594,-0.15,0.113281,0.141406,0.0578125,-0.136719,-0.0445313,-0.0757812,-0.0992187,0.105469,0.175,0.0375,-0.046875,-0.0695313,-0.0421875,0,5283.4766,9.4537652,15.490647,8.7422747,9.3900337,6.2225076,6.3981785,5.7369773,4.3850083,0.21977191,0.20876729,0.22876109,0.21290794,0.24934532,0.219183,0.22884092,0.2322348,0.22497653,0.43359375,0.3359375,0.44140625,0.33984375,0.48046875,0.35546875,0.4375,0.41796875,0.40527344,5283.4571,5283.4453,5283.5235,5283.4453,5283.5235,5283.5196,5283.5196,5283.5157,0.39570341,0.41748522,0.48673247,0.46164675,0.35878577,0.35153229,0.35171054,0.36398542
