Exam_index_glob,SS_index_glob,r_KOP_glob,T_KOP_glob,m_KOP_glob,t0_KOP_glob,r2_KOP_glob,Chirp_SS_f3,Chirp_SS_f4,Chirp_SS_c3,Chirp_SS_c4,Chirp_SS_p3,Chirp_SS_p4,Chirp_SS_o1,Chirp_SS_o2,Chirp_SS_glob,Freq_SS_f3,Freq_SS_f4,Freq_SS_c3,Freq_SS_c4,Freq_SS_p3,Freq_SS_p4,Freq_SS_o1,Freq_SS_o2,Freq_SS_glob,Time_Prop_f3f4,Time_Prop_f3c3,Time_Prop_f3c4,Time_Prop_f3p3,Time_Prop_f3p4,Time_Prop_f3o1,Time_Prop_f3o2,Time_Prop_f4c3,Time_Prop_f4c4,Time_Prop_f4p3,Time_Prop_f4p4,Time_Prop_f4o1,Time_Prop_f4o2,Time_Prop_c3c4,Time_Prop_c3p3,Time_Prop_c3p4,Time_Prop_c3o1,Time_Prop_c3o2,Time_Prop_c4p3,Time_Prop_c4p4,Time_Prop_c4o1,Time_Prop_c4o2,Time_Prop_p3p4,Time_Prop_p3o1,Time_Prop_p3o2,Time_Prop_p4o1,Time_Prop_p4o2,Time_Prop_o1o2,Veloc_Prop_glob,Timeloc_Prop_glob,Envmax_Prop_f3,Envmax_Prop_f4,Envmax_Prop_c3,Envmax_Prop_c4,Envmax_Prop_p3,Envmax_Prop_p4,Envmax_Prop_o1,Envmax_Prop_o2,Durac_Prop_f3,Durac_Prop_f4,Durac_Prop_c3,Durac_Prop_c4,Durac_Prop_p3,Durac_Prop_p4,Durac_Prop_o1,Durac_Prop_o2,Durac_Prop_glob,Idurac_Prop_f3,Idurac_Prop_f4,Idurac_Prop_c3,Idurac_Prop_c4,Idurac_Prop_p3,Idurac_Prop_p4,Idurac_Prop_o1,Idurac_Prop_o2,Idurac_Prop_glob,Timemax_Prop_f3,Timemax_Prop_f4,Timemax_Prop_c3,Timemax_Prop_c4,Timemax_Prop_p3,Timemax_Prop_p4,Timemax_Prop_o1,Timemax_Prop_o2,Deltafrac_Freq_f3,Deltafrac_Freq_f4,Deltafrac_Freq_c3,Deltafrac_Freq_c4,Deltafrac_Freq_p3,Deltafrac_Freq_p4,Deltafrac_Freq_o1,Deltafrac_Freq_o2
70502,6,0.97958985,0.080135584,0.69731903,0.38682922,0.90627834,0.80929,1.2114,0.63774,0.81308,0.74878,0.85421,1.2039,0.45826,0.8420825,12.5,13,12.5,13,13,13,14,12.5,12.9375,0.0507812,-0.884375,0.0609375,-0.970313,-0.323437,-1.30313,-1.32187,-0.0765625,0.034375,-0.978906,-0.0710937,-1.35,-1.36641,0.0820312,-0.967187,0.0632812,-1.33594,-1.35078,-0.984375,-0.0210938,-1.43516,-1.55781,0.973437,-1.40156,-1.42188,-1.55781,-1.55781,-1.55781,1.19616,6187.625,6.5154203,7.3920873,7.3858093,7.1004095,5.7048616,6.1296602,3.9669487,3.4450574,0.41953555,0.40409674,0.41653475,0.40683929,0.42921855,0.42316954,0.41400538,0.40093949,0.41429241,0.7265625,0.6796875,0.42578125,0.73046875,0.80859375,0.78125,0.52734375,0.44140625,0.64013672,6187.2324,6187.2324,6187.9121,6187.2324,6187.5059,6187.4316,6187.584,6187.584,0.23636522,0.18804544,0.11736542,0.11047155,0.16140721,0.13212682,0.16688611,0.22942693
70502,12,0.9364384,0.074348034,1.156518,0.23087114,0.95347317,1.0269,0.99039,0.74365,1.0953,0.30948,0.4722,-0.27417,-0.29852,0.50815375,13,12.5,13,13,12.5,13.5,13.5,13.5,13.0625,-1.675,-0.0273438,-1.675,-0.2,-1.675,0.273438,0.253906,1.675,-1.675,0.332031,-1.675,0.270313,0.257812,-1.675,0.241406,-0.232813,0.282813,0.264844,0.38125,-0.135156,0.279687,0.261719,-0.319531,0.249219,0.267969,0.439063,0.355469,-0.05,0.741276,6267.7266,10.094009,6.5495495,9.4598054,8.7489901,6.9724866,5.9849892,5.7763863,4.7655063,0.40511431,0.46078909,0.41349839,0.43824655,0.37632652,0.40766327,0.44228917,0.45229765,0.42452812,0.73828125,0.7734375,0.78125,0.4453125,0.77734375,0.6875,0.6796875,0.38671875,0.65869141,6267.6895,6267.6856,6267.6856,6267.6856,6267.3692,6267.6817,6267.4512,6267.4512,0.19777117,0.088726496,0.15971909,0.065358266,0.19720926,0.098247203,0.1483519,0.14527871
70502,20,0.98785507,0.26823846,0.84403767,0.25461892,0.95868457,-1.4829,-0.83172,-1.0859,-0.52643,-0.70541,0.25858,0.19307,0.27126,-0.48868125,13,12.5,13,12.5,13,14.5,15,14.5,13.5,-0.129688,0.228125,0.3125,0.241406,0.328125,0.329688,0.3375,0.207813,0.101562,0.2375,0.335156,0.284375,0.326562,-0.170313,0.096875,-0.110937,0.174219,0.207031,0.207031,0.08125,0.199219,0.196875,-0.135156,0.114844,0.214844,0.154688,0.142187,-0.071875,1.48491,6330.0547,11.330108,8.5021065,12.09463,9.3076723,8.999447,8.5607755,7.7718793,6.4046567,0.3594754,0.34445944,0.38374093,0.36816871,0.39749124,0.38807568,0.33610864,0.35082094,0.36604262,1.0351562,0.65234375,0.5859375,0.671875,0.5390625,0.6484375,0.73046875,0.38671875,0.65625,6329.9277,6329.9238,6329.7832,6329.7793,6329.709,6329.7793,6329.7129,6329.7129,0.28047133,0.1230759,0.16909607,0.10484495,0.18929909,0.13727735,0.17001683,0.18464653
70502,32,0.9652284,0.26042834,1.1185343,0.20139795,0.70015888,-0.91612,-0.42956,-0.5498,-0.55381,-0.094786,-0.39064,0.30426,0.781,-0.231182,13.5,14,13.5,13,13,13.5,14.5,14.5,13.6875,0.209375,0.696094,0.245312,0.148438,0.228906,0.24375,0.228906,-0.167969,0.386719,-0.133594,0.09375,0.13125,-0.105469,0.173437,0.114062,0.192969,0.228906,0.207813,-0.161719,0.0648438,-0.1,-0.127344,0.15625,0.158594,0.126562,-0.0859375,-0.114844,-0.0554687,0.391125,6414.3828,7.5019315,9.6030105,7.2401401,10.702082,6.0451748,10.444393,7.0458481,6.6613313,0.44384915,0.4035612,0.41210802,0.37610333,0.39861766,0.35435995,0.39249015,0.35510524,0.39202434,0.4609375,0.66796875,0.734375,0.69921875,0.7109375,0.63671875,0.41015625,0.4140625,0.59179688,6414.4609,6414.3789,6414.457,6414.3789,6414.3828,6414.3086,6414.2305,6414.2344,0.33053977,0.090910467,0.14476253,0.10127522,0.18895333,0.10285842,0.22444958,0.19775796
70502,35,0.9979648,0.23264145,1.276799,0.58638416,0.81629676,0.069728,-0.35639,0.073819,-0.3697,-0.46299,-1.1088,-2.3693,-2.3513,-0.85936663,12,12,12,12.5,12,12.5,12,12,12.125,0.0523438,-0.446875,-0.689844,-0.817969,-0.7625,-1.36172,-1.31406,-0.454688,-0.703125,-0.809375,-0.751563,-1.37266,-1.33047,-0.667969,-0.783594,-0.732031,-1.36719,0.242188,-0.673438,0.129688,0.879687,0.891406,0.764062,1.46562,1.45625,-1.62266,0.88125,1.54219,9.85677,6517.375,9.9735685,6.0309761,8.6933585,5.7979613,6.8624116,5.1045227,4.4064812,4.2492703,0.50170985,0.50123111,0.503173,0.49132647,0.54656788,0.52430058,0.61141975,0.60278221,0.53531386,0.55859375,0.5,1.03125,0.69921875,1.0664062,0.8984375,0.67578125,0.64453125,0.75927734,6516.8769,6516.8769,6517.3457,6517.3496,6517.3496,6517.3496,6516.8769,6516.8769,0.15425634,0.11748056,0.078123734,0.11428963,0.10588543,0.12700821,0.11198768,0.18428534
70502,43,0.94869154,0.067568399,1.2423043,0.63208495,0.94811911,-0.68116,-0.33989,-1.0366,-1.2098,-1.561,-0.96646,-0.50776,-2.014,-1.0395838,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12,12.4375,0.380469,-0.0929688,-0.549219,-0.104688,-0.653125,-0.259375,-0.264062,-0.400781,-0.464062,-0.385156,-0.547656,-0.639844,-0.653125,-0.553125,0.0867187,-0.65,-0.724219,-0.24375,0.125,-0.576562,-0.6625,0.522656,-0.682813,-0.203906,-0.219531,0.597656,0.575,0.579688,3.46344,6580.5156,11.613189,8.5660322,10.070234,5.9766192,8.4948617,4.2265897,3.9875512,3.776901,0.37382895,0.42566958,0.41442952,0.44176087,0.3964516,0.38599672,0.41382279,0.42881084,0.41009636,0.796875,0.328125,0.8359375,0.34765625,0.39453125,0.3046875,0.515625,0.41015625,0.49169922,6580.2929,6580.3711,6580.2929,6580.3711,6580.2968,6580.4531,6580.3789,6580.4531,0.32577206,0.11688905,0.15145294,0.17604638,0.11725557,0.20875005,0.16822703,0.20574649
70502,45,0.97310446,0.31311404,0.86147032,0.4728166,0.94079959,1.2471,0.67048,1.1712,0.91273,1.1332,0.99427,0.38278,-0.022332,0.8111785,14.5,14,14.5,14.5,15,15,15,15,14.6875,-0.445312,0.113281,0.155469,0.1625,0.129688,-0.154688,-0.147656,0.425781,0.516406,0.469531,0.470313,-0.169531,-0.182031,0.1625,0.157812,0.135937,-0.204687,-0.210938,-0.1125,-0.128906,-0.235937,-0.2375,-0.125781,-0.296875,-0.299219,-0.214844,-0.214844,-0.078125,0.109501,6591.4141,10.925455,4.4874076,11.284773,7.5745266,9.4747226,8.7839639,6.4979362,5.1650039,0.22968169,0.24537115,0.21875323,0.22454145,0.20940818,0.22461013,0.23729071,0.24164891,0.22891318,0.70703125,0.83203125,0.56640625,0.59375,0.51171875,0.59765625,0.81640625,0.56640625,0.64892578,6591.2989,6591.2247,6591.2989,6591.2285,6591.295,6591.2247,6591.3614,6591.3614,0.36004872,0.14807792,0.14138874,0.13736614,0.12044156,0.16661581,0.14395244,0.18569344
70502,46,0.92313695,0.04949708,0.99713046,0.59955686,0.89953065,-0.1365,-0.090234,-0.74164,-1.1045,-1.149,-1.5401,-1.1774,-1.4282,-0.92094675,13,12,12.5,12,12.5,12,12,12,12.25,-0.128906,-0.0851563,0.0898438,0.1375,0.103125,0.120313,0.0953125,0.096875,0.096875,0.175781,0.122656,0.147656,0.126562,0.0695313,0.135156,0.0976562,0.116406,0.0914062,0.132812,0.0859375,0.108594,0.0875,-0.0976562,-0.078125,-0.114844,0.0726563,-0.08125,-0.0984375,1.00785,6595.9453,6.7766808,9.3046743,10.178199,11.306644,11.560332,11.889391,8.1100605,6.3238667,0.20021406,0.18006377,0.19223419,0.1928449,0.19154509,0.19670766,0.1845929,0.1739107,0.18901416,0.43359375,0.3359375,0.37890625,0.359375,0.37890625,0.34765625,0.359375,0.37890625,0.37158203,6595.9199,6595.9824,6595.916,6595.9082,6595.8418,6595.9043,6595.9121,6595.9082,0.40477227,0.2303129,0.21266193,0.1960548,0.214208,0.19674988,0.21459404,0.21076594
70502,52,0.79353373,0.33273732,0.64657529,0.39188019,0.93715124,-0.58177,-1.1082,-0.63985,-1.2135,-1.3338,-1.6576,-0.77625,-0.77131,-1.010285,13,13.5,13,13.5,12.5,13,14,12,13.0625,0.475781,0.059375,0.575781,0.379688,0.665625,0.417187,0.563281,-0.457813,0.0554687,-0.059375,0.213281,0.0679687,0.290625,0.166406,0.358594,0.653906,0.391406,0.409375,-0.0796875,0.172656,0.208594,0.242188,0.271094,0.299219,0.317969,-0.0945312,0.0804688,-0.025,1.14395,6673.4219,9.8825082,10.432686,10.815624,9.0900922,9.048239,8.1851595,8.4350581,6.9587645,0.35780002,0.32506994,0.34085677,0.33533935,0.37630598,0.34459793,0.40162313,0.42008455,0.36270971,0.44921875,0.35546875,0.4609375,0.4140625,0.71484375,0.6015625,0.65234375,0.62109375,0.53369141,6673.3867,6673.3946,6673.3828,6673.3907,6673.3789,6673.3125,6673.3672,6673.0235,0.41188766,0.16719212,0.15852176,0.2597743,0.16504294,0.18004036,0.15717896,0.19128318
70502,54,0.96448506,0.12493714,0.88018359,0.26452206,0.8515117,-1.5375,-0.22788,-1.8443,-1.0993,-1.3762,-0.79111,-0.48822,-0.25586,-0.95254625,12.5,13.5,12.5,13,12.5,15,13,15,13.375,-0.260937,0.153125,0.191406,0.139063,0.210156,0.136719,0.139063,0.2625,0.274219,0.25,0.34375,0.295312,0.326562,0.174219,0.113281,0.219531,0.110156,0.114062,-0.161719,0.239063,0.197656,0.217969,0.4125,-0.0601563,-0.08125,0.0828125,-0.0765625,0.0476562,0.934292,6678.4688,11.572719,6.6705607,10.676214,7.2461293,8.0074244,7.0386095,5.3907154,4.7207327,0.28288823,0.2668251,0.2862463,0.26949268,0.29625119,0.27986019,0.2777589,0.29201228,0.28141686,0.6171875,0.73828125,0.8984375,0.69921875,0.546875,0.65234375,0.53515625,0.52734375,0.65185547,6678.2969,6678.2852,6678.293,6678.2852,6678.1875,6678.2852,6678.3516,6678.3516,0.33525837,0.13138038,0.1401478,0.17237652,0.18672896,0.17799602,0.23966533,0.2593014
